feature,score,max,min,n_null,type
x266,360,,,19,numeric
x216,360,,,131,numeric
x647,359,,,10188,numeric
x954,359,,,4421,numeric
x187,359,,,19,numeric
x825,358,,,19,numeric
x506,357,,,19,numeric
x350,357,,,0,numeric
x634,356,,,19,numeric
x820,356,,,989,numeric
x792,353,,,19,numeric
x721,353,,,19,numeric
x129,352,,,131,numeric
x545,351,,,19,numeric
x384,351,,,19,numeric
x947,350,,,285,numeric
x325,350,,,19,numeric
x478,349,,,20,numeric
x399,349,,,19,numeric
x67,348,,,130,numeric
x393,345,,,19,numeric
x429,345,,,52,numeric
x593,345,,,44,numeric
x213,344,,,131,numeric
x1011,342,,,19,numeric
x582,341,,,19,numeric
x697,340,,,19,numeric
x909,340,,,4951,numeric
x933,340,,,4951,numeric
x15,339,,,92,numeric
x97,339,,,83,numeric
x255,338,,,19,numeric
x474,338,,,20,numeric
x257,337,,,19,numeric
x979,336,,,19,numeric
x294,335,,,19,numeric
x1115,334,,,0,category
x824,333,,,19,numeric
x534,333,,,19,numeric
x992,332,,,19,numeric
x127,332,,,131,numeric
x469,331,,,0,numeric
x144,329,,,130,numeric
x605,328,,,19,numeric
x421,328,,,19,numeric
x87,327,,,131,numeric
x411,326,,,0,category
x690,325,,,19,numeric
x524,323,,,19,numeric
x307,323,,,19,numeric
x102,323,,,130,numeric
x1083,322,,,4951,numeric
x196,322,,,19,numeric
x996,321,,,19,numeric
x274,321,,,12095,numeric
x655,321,,,19,numeric
x858,320,,,19,numeric
x764,320,,,19,numeric
x550,320,,,6115,numeric
x188,320,,,19,numeric
x475,318,,,20,numeric
x155,318,,,92,numeric
x746,316,,,19,numeric
x282,315,,,19,numeric
x379,313,,,19,numeric
x885,313,,,4951,category
x1029,312,,,19,numeric
x330,310,,,4280,numeric
x268,309,,,19,numeric
x46,309,,,19,numeric
x56,309,,,131,numeric
x338,308,,,19,numeric
x430,307,,,52,numeric
x565,305,,,19,numeric
x401,305,,,19,numeric
x78,305,,,19,numeric
x75,304,,,19,numeric
x520,303,,,19,numeric
x1023,303,,,19,numeric
x7,302,,,19,numeric
x186,302,,,19,numeric
x34,302,,,19,numeric
x47,301,,,92,numeric
x949,300,,,285,numeric
x988,300,,,19,numeric
x177,300,,,92,numeric
x514,298,,,19,numeric
x974,296,,,13588,numeric
x354,296,,,0,numeric
x1102,296,,,4951,numeric
x403,295,,,19,numeric
x194,295,,,19,numeric
x731,294,,,6130,numeric
x652,294,,,19,numeric
x846,293,,,19,numeric
x698,293,,,19,numeric
x472,293,,,20,numeric
x946,291,,,285,numeric
x166,291,,,131,numeric
x529,290,,,19,numeric
x563,290,,,19,numeric
x977,290,,,19,numeric
x1103,290,,,4951,numeric
x272,289,,,19,numeric
x1077,289,,,4951,numeric
x160,289,,,131,numeric
x890,289,,,4951,numeric
x207,289,,,92,numeric
x334,288,,,19,numeric
x937,287,,,4951,numeric
x1110,287,,,0,category
x485,286,,,20,numeric
x86,285,,,92,numeric
x1004,283,,,19,numeric
x964,283,,,4421,numeric
x835,282,,,19,numeric
x978,282,,,19,numeric
x343,282,,,170,numeric
x182,282,,,92,numeric
x763,280,,,19,numeric
x355,280,,,0,numeric
x649,280,,,13242,numeric
x408,277,,,19,numeric
x288,277,,,7817,numeric
x238,277,,,131,numeric
x431,276,,,52,numeric
x1005,276,,,19,numeric
x479,275,,,20,numeric
x390,274,,,19,numeric
x736,273,,,19,numeric
x85,273,,,92,numeric
x643,271,,,19,numeric
x103,270,,,130,numeric
x1108,270,,,0,category
x667,270,,,19,numeric
x875,269,,,19,numeric
x997,268,,,19,numeric
